x, y
-3.071623532961898, 175.9731943475249
-3.106528345836465, 177.9728897378376
-3.106528345836465, 177.9728897378376
-3.123980752273748, 178.972737432994
-3.141433158711032, 179.9725851281505
-3.158885565148315, 180.9724328233069
-3.176337971585598, 181.9722805184633
-3.193790378022882, 182.9721282136197
-3.228689874725383, 183.9715190406388
-3.228689874725383, 183.9715190406388
-3.263589371427884, 184.9709098676579
-3.298488868130385, 185.9703006946769
-3.333388364832886, 186.969691521696
-3.333388364832886, 186.969691521696
-11.81216780179225, 214.702529444624
-11.81216780179225, 214.702529444624
-12.9816546206832, 218.5277484684761
-13.27402632540594, 219.4840532244392
-13.56639803012867, 220.4403579804022
-16.49651142024308, 228.9500251607961
-16.82207957470024, 229.8955437363954
-20.58430115128259, 240.2321625650404
-20.92632129460826, 241.1718551858263
-22.6364220112366, 245.8703182897558
-22.97844215456228, 246.8100109105417
-23.32046229788794, 247.7497035313276
-23.66248244121361, 248.6893961521135
-24.00450258453928, 249.6290887728994
-17.11010259646848, 255.4141772600783
-17.11010259646848, 255.4141772600783
-16.3440581533495, 256.0569648697649
-16.3440581533495, 256.0569648697649
-15.56691219189253, 256.6862852608147
-14.78976623043556, 257.3156056518645
-13.23547430752162, 258.5742464339642
-11.68118238460768, 259.8328872160639
-10.90403642315071, 260.4622076071137
-10.12689046169374, 261.0915279981635
-10.12689046169374, 261.0915279981635
-9.349744500236767, 261.7208483892133
-8.595034920013996, 262.3769074182038
-7.840325339791224, 263.0329664471943
-7.085615759568451, 263.6890254761848
-6.330906179345679, 264.3450845051754
-5.576196599122907, 265.0011435341659
-4.821487018900135, 265.6572025631564
-4.066777438677363, 266.3132615921469
-4.066777438677363, 266.3132615921469
-3.359670657490816, 267.0203683733334
-2.652563876304268, 267.72747515452
-2.652563876304268, 267.72747515452
-1.945457095117721, 268.4345819357066
-0.6333390371367063, 269.9440010961521
0.02271999185380091, 270.6987106763748
0.02271999185380091, 270.6987106763748
0.6787790208443081, 271.4534202565976
1.334838049834815, 272.2081298368204
1.990897078825323, 272.9628394170431
2.578682331117796, 273.7718564114181
3.754252835702742, 275.389890400168
4.342038087995215, 276.1989073945429
4.342038087995215, 276.1989073945429
4.929823340287689, 277.0079243889179
5.517608592580162, 277.8169413832928
6.105393844872635, 278.6259583776677
6.693179097165109, 279.4349753720426
7.280964349457582, 280.2439923664176
8.456534854042529, 281.8620263551675
8.456534854042529, 281.8620263551675
9.426154094535203, 283.6112657694463
9.910963714781539, 284.4858854765857
10.39577333502788, 285.3605051837251
10.88058295527421, 286.2351248908645
11.36539257552055, 287.1097445980039
11.72376052506585, 288.0433250245011
12.08212847461115, 288.9769054509983
12.44049642415645, 289.9104858774955
12.79886437370175, 290.8440663039927
28.71121469959412, 289.1716108917103
28.71121469959412, 289.1716108917103
29.7057365949624, 289.0670824284427
31.69082889824504, 288.8233437416324
32.68337504988637, 288.7014743982272
33.67592120152769, 288.5796050548221
34.66846735316901, 288.457735711417
35.66101350481033, 288.3358663680118
36.65355965645165, 288.2139970246067
37.64610580809297, 288.0921276812015
38.63865195973429, 287.9702583377964
38.63865195973429, 287.9702583377964
39.63317385510257, 287.8657298745288
40.62769575047084, 287.7612014112612
41.62221764583911, 287.6566729479935
42.61673954120738, 287.5521444847259
43.61126143657565, 287.4476160214583
44.60578333194393, 287.3430875581906
45.60334738220376, 287.2733310844465
45.60334738220376, 287.2733310844465
46.60091143246357, 287.2035746107024
47.5984754827234, 287.1338181369583
48.59603953298323, 287.0640616632142
49.59360358324306, 286.99430518947
49.59360358324306, 286.99430518947
50.59299441026216, 286.9594056927675
50.59299441026216, 286.9594056927675
51.59238523728125, 286.924506196065
52.59177606430035, 286.8896066993625
53.59116689131945, 286.85470720266
54.59101458647584, 286.8721596090973
55.59086228163223, 286.8896120155345
56.59070997678862, 286.9070644219718
56.59070997678862, 286.9070644219718
58.58796904629777, 287.0117363344577
59.58659858105234, 287.0640722907006
60.58279327914409, 287.1512280334483
61.57898797723584, 287.2383837761959
62.57518267532759, 287.3255395189436
63.57137737341933, 287.4126952616912
64.56392352506066, 287.5345646050964
65.55646967670198, 287.6564339485015
66.54901582834331, 287.7783032919067
67.54156197998462, 287.9001726353118
67.54156197998462, 287.9001726353118
68.53410813162594, 288.0220419787169
69.52665428326727, 288.1439113221221
70.51920043490859, 288.2657806655272
70.51920043490859, 288.2657806655272
71.51174658654991, 288.3876500089323
72.50429273819122, 288.5095193523375
73.49881463355951, 288.6140478156051
74.49333652892779, 288.7185762788727
74.49333652892779, 288.7185762788727
75.48785842429607, 288.8231047421403
76.48238031966435, 288.927633205408
78.47142411040089, 289.1366901319433
79.46594600576917, 289.2412185952109
80.46046790113746, 289.3457470584785
82.449511691874, 289.5548039850139
82.449511691874, 289.5548039850139
83.44205784351532, 289.676673328419
85.42715014679796, 289.9204120152293
85.42715014679796, 289.9204120152293
87.41224245008061, 290.1641507020395
89.39733475336324, 290.4078893888498
90.39185664873152, 290.5124178521175
91.3863785440998, 290.6169463153851
92.38090043946809, 290.7214747786527
93.37542233483637, 290.8260032419203
93.37542233483637, 290.8260032419203
95.36781173101986, 291.0003147274157
96.36400642911161, 291.0874704701633
96.36400642911161, 291.0874704701633
97.36020112720334, 291.1746262129109
98.35776517746318, 291.244382686655
99.355329227723, 291.3141391603992
99.355329227723, 291.3141391603992
100.3528932779828, 291.3838956341433
102.3480213785025, 291.5234085816315
103.3455854287623, 291.5931650553757
104.3431494790221, 291.6629215291198
105.3407135292819, 291.7326780028639
106.3382775795418, 291.8024344766081
